SentenceID,Token,Label
1,Penelitian,O
1,ini,O
1,bertujuan,O
1,untuk,O
1,mengkaji,O
1,pengaruh,O
1,kunyit,B-HERB
1,(,O
1,Curcuma,B-HERB
1,domestica,I-HERB
1,Val,I-HERB
1,),O
1,terhadap,O
1,penurunan,B-EFFECT
1,suhu,I-EFFECT
1,tubuh,I-EFFECT
1,saat,O
1,demam,B-DISEASE
1,sebagai,O
1,agen,B-TREATMENT
1,antipiretik,I-TREATMENT
1,alami,I-TREATMENT
1,.,O
2,Metode,B-METHOD
2,penelitian,I-METHOD
2,yang,O
2,digunakan,O
2,adalah,O
2,literature,B-METHOD
2,review,I-METHOD
2,dengan,O
2,menelusuri,O
2,berbagai,O
2,artikel,O
2,ilmiah,O
2,melalui,O
2,database,O
2,Google,O
2,Scholar,O
2,menggunakan,O
2,pendekatan,O
2,PICO-S,B-METHOD
2,serta,O
2,operator,O
2,Boolean,O
2,(,O
2,AND,O
2,",",O
2,OR,O
2,),O
2,.,O
3,Kata,O
3,kunci,O
3,yang,O
3,digunakan,O
3,mencakup,O
3,:,O
3,demam,B-DISEASE
3,",",O
3,pengaruh,O
3,kunyit,B-HERB
3,",",O
3,terapi,B-TREATMENT
3,",",O
3,dan,O
3,penurunan,B-EFFECT
3,suhu,I-EFFECT
3,.,O
4,Dari,O
4,200,O
4,studi,O
4,yang,O
4,ditelusuri,O
4,",",O
4,hanya,O
4,6,O
4,studi,O
4,yang,O
4,memenuhi,O
4,kriteria,O
4,inklusi,O
4,dan,O
4,eksklusi,O
4,yang,O
4,ditetapkan,O
4,",",O
4,yakni,O
4,artikel,O
4,dalam,O
4,bahasa,O
4,Indonesia,O
4,yang,O
4,membahas,O
4,secaraspesifik,O
4,efek,B-EFFECT
4,antipiretik,I-EFFECT
4,kunyit,B-HERB
4,.,O
5,Hasil,O
5,penelitian,O
5,menunjukkan,O
5,bahwa,O
5,kunyit,B-HERB
5,",",O
5,khususnya,O
5,melalui,O
5,senyawa,O
5,aktif,O
5,kurkumin,B-COMPOUND
5,",",O
5,memiliki,O
5,efek,B-EFFECT
5,signifikan,I-EFFECT
5,dalam,O
5,menurunkan,B-EFFECT
5,suhu,I-EFFECT
5,tubuh,O
5,dengan,O
5,cara,O
5,menghambat,O
5,enzim,O
5,COX-2,B-COMPOUND
5,dan,O
5,molekul,B-COMPOUND
5,inflamasi,I-COMPOUND
5,lainnya,O
5,.,O
6,Metode,O
6,perasan,B-TREATMENT
6,kunyit,I-TREATMENT
6,menunjukkan,O
6,hasil,O
