SentenceID,Token,Label
1,Diabetes,B-DISEASE
1,mellitus,I-DISEASE
1,adalah,O
1,penyakit,O
1,metabolisme,O
1,yang,O
1,ditandai,O
1,dengan,O
1,tingginya,O
1,kadar,O
1,glukosa,B-COMPOUND
1,di,O
1,dalam,O
1,darah,B-BODY_PART
1,.,O
2,Indonesia,O
2,menduduki,O
2,peringkat,O
2,ke,O
2,-,O
2,4,O
2,penderita,B-POPULATION
2,diabetes,I-POPULATION
2,mellitus,I-POPULATION
2,di,O
2,dunia,O
2,setelah,O
2,Amerika,O
2,Serikat,O
2,",",O
2,India,O
2,dan,O
2,China,O
2,.,O
3,Banyak,O
3,tumbuhan,O
3,yang,O
3,dapat,O
3,dijadikan,O
3,alternative,O
3,sebagai,O
3,obat,O
3,diabetes,B-DISEASE
3,",",O
3,salah,O
3,satunya,O
3,adalah,O
3,temulawak,B-HERB
3,(,O
3,Curcuma,B-HERB
3,xanthorrhiza,I-HERB
3,Roxb,I-HERB
3,),O
3,.,O
4,Penelitian,O
4,ini,O
4,bertujuan,O
4,untuk,O
4,mengetahui,O
4,efektivitas,O
4,ektrak,O
4,etanol,B-COMPOUND
4,rimpang,B-HERB
4,temulawak,I-HERB
4,terhadap,O
4,penurunan,B-EFFECT
4,kadar,I-EFFECT
4,gllukosa,I-EFFECT
4,darah,I-EFFECT
4,dan,O
4,kadar,O
4,yang,O
4,paling,O
4,efektif,O
4,dalam,O
4,menurunkan,B-EFFECT
4,kadar,I-EFFECT
4,glukosa,I-EFFECT
4,darah,I-EFFECT
4,.,O
5,Jenis,O
5,penelitian,O
5,yang,O
5,digunakan,O
5,adalah,O
5,penelitian,B-METHOD
5,eksperimental,I-METHOD
5,",",O
5,dimana,O
5,hewan,B-POPULATION
5,uji,I-POPULATION
5,yang,O
5,digunakan,O
5,adalah,O
5,18,O
5,ekor,O
5,mencit,B-POPULATION
5,",",O
5,yang,O
5,terbagi,O
5,dalam,O
5,6,O
5,kelompok,O
5,dan,O
5,masing,O
5,masing,O
5,kelompok,O
5,terdiri,O
5,dari,O
5,3,O
5,ekor,O
5,mencit,B-POPULATION
5,.,O
6,Kelompok,O
6,1,O
6,diberikan,O
6,aquadest,O
6,",",O
6,kelompok,O
6,2,O
6,diberikan,O
6,CMC,O
6,"0,5%",O
6,",",O
6,kelompok,O
6,3,O
6,diberikan,O
6,suspensi,O
6,metformin,B-COMPOUND
6,65,O
6,mg,O
6,/,O
6,Kg,O
6,BB,O
6,",",O
6,kelompok,O
6,4,O
6,diberikan,O
6,ekstrak,B-TREATMENT
6,etanol,I-TREATMENT
6,rimpang,B-HERB
6,temulawak,I-HERB
6,dosis,O
6,"0,5",O
6,g,O
6,/,O
6,Kg,O
6,BB,O
6,",",O
6,kelompok,O
6,5,O
6,diberikan,O
6,ekstrak,B-TREATMENT
6,etanol,I-TREATMENT
6,rimpang,B-HERB
6,temulawak,I-HERB
6,dosis,O
6,1,O
6,g,O
6,/,O
6,Kg,O
